id,flag,round,team_id,service_id
1,M4GM4A6PIQTJKXKNYMN3TGJA50TFNMM=,1,0,0
2,YCW3DY8TRGNE7HXONOQB3WKG7WXEGG5=,1,0,1
3,LB7DS9VNSCPUCVLLXLUN00S5622J0L3=,1,0,2
4,68OQG581MHZEIGG6V11KP5LKS4XHM9I=,1,0,3
5,GI4BPVIH39XUDPBB6TONZ3XH4DIQU05=,1,0,4
1217,TFSO95IPDXPTUI0XYEF4I0TKYW411JC=,20,0,0
7,8RNM8447GY1VSQNCKL54I5VEK4PTL1V=,1,0,6
8,708WLPLF1H5W4VII0K1SFSRJ9CDND28=,1,0,7
9,W983DU1COTI9D2QOX25CL7IC4UGHC24=,1,1,0
10,QLEICJ1JHSYAONWBGN93BAK0XD9IBS3=,1,1,1
11,7JEH23VZO5FH5CKLUM2C6BSSX40SQQ0=,1,1,2
12,HMIK4HS9RLPE5RGJUWZX0LSJV04Z9EI=,1,1,3
13,PLJPTHDT1MRKEWR4EUQU07I9HFVY2YK=,1,1,4
14,DJPVE2HVCFA4JIPU7VVYN8KZLC4QL0L=,1,1,5
15,2ZX5ZSO0065OWGQBEEHJCQED4PSHGRE=,1,1,6
16,AJTUQC2KW4T05DXVYBGDQ6OD2WEJLUK=,1,1,7
17,77WZFCYTONIYEQKLAEDW8HW7TI0RPME=,1,2,0
18,6NAQ0BDMA6YRQN94EGSCHDJBIOU3232=,1,2,1
19,XRGR2PIP0YGRMT71L4B1UZOG33QGHM9=,1,2,2
20,NWFD7ZS36CJUEMKEH7C8TVQEXVXM9KK=,1,2,3
21,TJOMB2D2G4B1CVPX1KYNLCNTP1YHQNA=,1,2,4
22,RHWUTGYPO6LL3GRPFNTNMDJFZ80KFLB=,1,2,5
23,WI4981QAE0O3B2DJRTM4R6GGJE86SXG=,1,2,6
1218,OTG3S6MPOTPEPBLC3XMO621UEL581JS=,20,0,1
25,ZCWF0TN1CBMETUXXUH44Z0AJUOU2T0F=,1,3,0
26,WC4Z03Q2VJ7QR4CYUDHLU0TJRSRC4A4=,1,3,1
1219,2X74FI79KXX4UJEVN7CR61L7A4KKS8N=,20,0,2
1220,TOH6ECB6DACBBNRUEAMUTEOKNZX1HBE=,20,0,3
29,YB42PCM5CAW1XFXDMCO90VY60BWUSOQ=,1,3,4
1221,DY9SIGMFUBLJZYNCUPHDM53PABLZ34K=,20,0,4
1222,A65T0OIO8K6WCCO2B0XJY9YQHSE9CL9=,20,0,5
